year,plot,treatment,species,cover
2004,13_3,C,CHSES,0.4
2004,3_3,C,BOGR2,0.85
2004,9_2,C,ASFE2,0.9
2004,7_1,C,PLJA,0.75
2004,9_3,C,SPCR,1.35
2004,18_3,C,PLJA,1.85
2004,18_2,C,PLJA,1.85
2004,12_3,C,MAPIP,8.25
2004,3_2,C,BOGR2,0.9
2004,18_4,C,PLJA,0.85
2004,20_4,C,BOGR2,1.85
2004,20_1,C,SPCR,0.25
2004,13_2,C,SCBR2,0.9
2004,5_2,C,BOGR2,2.6
2004,20_4,C,CHSE7,1.5
2004,3_4,C,PLJA,0.85
2004,13_2,C,CHSES,0.15
2004,12_4,C,BOER4,1.65
2004,15_1,C,MUAR2,1
2004,18_1,C,PLJA,1.85
2004,2_3,C,CHSES,0.4
2004,3_1,C,PLJA,3.35
2004,12_2,C,DABR,5.25
2004,20_4,C,HODR,1.5
2004,18_1,C,MAPIP,0.5
2004,9_4,C,CHSES,1.65
2004,20_2,C,SPCR,1.9
2004,9_2,C,SPCR,2
2004,5_1,C,BOGR2,0.9
2004,20_1,C,HODR,0.75
2004,9_1,C,ASFE2,0.75
2004,15_1,C,SPFL2,1.15
2004,12_2,C,CHSE7,0.25
2004,12_4,C,CHSE7,0.5
2004,5_4,C,PLJA,2.6
2004,3_1,C,BOGR2,0.35
2004,13_1,C,CHSES,0.16
2004,2_4,C,BOGR2,1.85
2004,2_3,C,BOGR2,1.9
2004,12_4,C,SPCR,0.35
2004,13_1,C,SPCR,1.5
2004,2_4,C,CHSES,0.8
2004,12_3,C,DABR,1.25
2004,9_4,C,CHSE7,0.5
2004,18_1,C,CHSES,0.25
2004,7_1,C,HODR,0.5
2004,2_1,C,BOGR2,0.9
2004,2_4,C,BOER4,0.75
2004,7_2,C,PLJA,0.4
2004,12_2,C,EPTO,4.5
2004,15_2,C,PLJA,1.85
2004,13_1,C,SCBR2,0.8
2004,15_2,C,SCBR2,0.91
2004,12_1,C,CHSES,0.15
2004,12_4,C,CHSES,0.6
2004,2_4,C,SPCR,3.25
2004,9_4,C,BOER4,3.1
2004,9_4,C,SPFL2,3
2004,9_2,C,EUEX4,0.1
2004,5_3,C,BOER4,0.9
2004,7_3,C,PLJA,2.4
2004,7_4,C,PLJA,1.9
2004,18_3,C,SPFL2,5.05
2004,20_3,C,CHSE7,0.5
2004,7_4,C,DABR,1.5
2004,20_3,C,CHSES,0.75
2004,5_2,C,CHSES,0.15
2004,18_4,C,SPCO4,0.75
2004,9_3,C,HODR,1
2004,20_4,C,SPCO4,0.35
2004,15_1,C,PLJA,2.5
2004,13_4,C,SCBR2,2.5
2004,3_3,C,PLJA,0.85
2004,20_2,C,GUSA2,0.5
2004,7_2,C,GUSA2,1.75
2004,7_4,C,MAPIP,1
2004,20_3,C,EPTO,0.1
2004,20_4,C,EPTO,1
2004,12_3,C,SPCR,0.45
2004,7_1,C,MELE2,2
2004,9_2,C,MELE2,0.25
2004,13_2,C,SPCR,3.35
2004,9_1,C,SPCR,0.85
2004,20_3,C,TOAN,0.75
2004,18_2,C,SPCO4,3
2004,7_2,C,BOER4,1.85
2004,9_3,C,BOBA2,1
